version,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM,DSC_norm,NOH_norm,ANA_norm,DAM_norm,DCC_norm,CAM_norm,MOA_norm,MFA_norm,NOP_norm,CIS_norm,NOM_norm
1.14.1,144.0,12.0,0.75,0.876,3.25,0.3633,0.4167,0.3048,5.2431,5.3819,9.0833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.14.3,144.0,12.0,0.75,0.866,3.3611,0.3549,0.4236,0.3053,5.3542,5.5069,9.3681,1.0,1.0,1.0,0.9886,1.0342,0.9768,1.0167,1.0015,1.0212,1.0232,1.0313
1.15.1,148.0,11.0,0.75,0.8704,3.3108,0.3645,0.4189,0.3044,5.2297,5.3446,9.1216,1.0278,0.9167,1.0,0.9937,1.0187,1.0032,1.0054,0.9986,0.9975,0.9931,1.0042
1.15.4,150.0,11.0,0.74,0.8699,3.28,0.3554,0.4133,0.302,5.44,5.5333,9.3667,1.0417,0.9167,0.9867,0.993,1.0092,0.9784,0.992,0.9908,1.0376,1.0281,1.0312
1.16.2,152.0,11.0,0.7368,0.8559,3.3026,0.3234,0.4079,0.3346,5.6447,5.5724,9.6316,1.0556,0.9167,0.9825,0.9771,1.0162,0.8901,0.9789,1.0976,1.0766,1.0354,1.0604
1.17.2,160.0,10.0,0.7125,0.8404,3.1875,0.3211,0.4125,0.3356,5.4313,5.3875,9.325,1.1111,0.8333,0.95,0.9593,0.9808,0.8838,0.99,1.1008,1.0359,1.001,1.0266
1.18.3,164.0,10.0,0.689,0.8367,3.2683,0.3212,0.4817,0.3275,5.4573,5.5061,9.4756,1.1389,0.8333,0.9187,0.9551,1.0056,0.884,1.1561,1.0743,1.0409,1.0231,1.0432
1.19.1,166.0,10.0,0.6867,0.8197,3.2831,0.3216,0.5,0.3286,5.4639,5.506,9.512,1.1528,0.8333,0.9157,0.9358,1.0102,0.8853,1.2,1.078,1.0421,1.0231,1.0472
1.20.1,170.0,9.0,0.6824,0.7945,3.3176,0.3218,0.4647,0.3234,5.5353,5.6294,9.6471,1.1806,0.75,0.9098,0.907,1.0208,0.8857,1.1153,1.061,1.0557,1.046,1.0621
1.21.2,179.0,11.0,0.7207,0.797,3.3687,0.3109,0.4581,0.3655,5.5307,5.486,9.5587,1.2431,0.9167,0.9609,0.9099,1.0365,0.8558,1.0994,1.1989,1.0549,1.0193,1.0523
1.22.2,184.0,13.0,0.7065,0.8057,3.3804,0.3004,0.4891,0.3577,5.4674,5.4565,9.5761,1.2778,1.0833,0.942,0.9198,1.0401,0.827,1.1739,1.1733,1.0428,1.0139,1.0542
